Planned Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity,Summer Capacity
2023,AK,Total Electric Power Industry,All Sources,3,3,8.2,8.1
2023,AK,Total Electric Power Industry,Hydroelectric,1,1,1.8,1.8
2023,AK,Total Electric Power Industry,Petroleum,1,1,.4,.3
2023,AK,Total Electric Power Industry,Solar Thermal and Photovoltaic,1,1,6.0,6.0
2023,AL,Total Electric Power Industry,All Sources,7,5,"1,715.5","1,550.7"
2023,AL,Total Electric Power Industry,Natural Gas,4,2,"1,506.7","1,343.9"
2023,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,2,2,180.0,180.0
2023,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,1,1,28.8,26.8
2023,AR,Total Electric Power Industry,All Sources,4,4,577.0,577.0
2023,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,4,4,577.0,577.0
2023,AZ,Total Electric Power Industry,All Sources,24,17,"2,197.7","2,197.7"
2023,AZ,Total Electric Power Industry,Other,16,16,979.0,979.0
2023,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,7,7,980.5,980.5
2023,AZ,Total Electric Power Industry,Wind,1,1,238.2,238.2
2023,CA,Total Electric Power Industry,All Sources,137,105,"7,078.5","6,915.1"
2023,CA,Total Electric Power Industry,Hydroelectric,2,2,5.3,5.1
2023,CA,Total Electric Power Industry,Natural Gas,8,4,97.9,97.9
2023,CA,Total Electric Power Industry,Other,61,57,"3,939.1","3,909.1"
2023,CA,Total Electric Power Industry,Other Biomass,2,2,4.8,4.2
2023,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,63,62,"2,935.9","2,803.3"
2023,CA,Total Electric Power Industry,Wind,1,1,95.5,95.5
2023,CO,Total Electric Power Industry,All Sources,20,11,"1,539.6","1,458.8"
2023,CO,Total Electric Power Industry,Natural Gas,6,1,243.6,163.8
2023,CO,Total Electric Power Industry,Other,4,4,255.0,255.0
2023,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,9,9,841.0,841.0
2023,CO,Total Electric Power Industry,Wind,1,1,200.0,199.0
2023,CT,Total Electric Power Industry,All Sources,9,5,31.5,31.5
2023,CT,Total Electric Power Industry,Natural Gas,5,1,14.0,14.0
2023,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,4,4,17.5,17.5
2023,DC,Total Electric Power Industry,All Sources,2,2,3.7,3.7
2023,DC,Total Electric Power Industry,Solar Thermal and Photovoltaic,2,2,3.7,3.7
2023,FL,Total Electric Power Industry,All Sources,34,31,"3,152.0","3,068.2"
2023,FL,Total Electric Power Industry,Natural Gas,4,2,"1,185.8","1,102.0"
2023,FL,Total Electric Power Industry,Other,2,2,19.8,19.8
2023,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,28,28,"1,946.4","1,946.4"
2023,GA,Total Electric Power Industry,All Sources,18,18,"1,855.7","1,855.7"
2023,GA,Total Electric Power Industry,Nuclear,1,1,"1,114.0","1,114.0"
2023,GA,Total Electric Power Industry,Solar Thermal and Photovoltaic,17,17,741.7,741.7
2023,HI,Total Electric Power Industry,All Sources,13,7,520.0,520.0
2023,HI,Total Electric Power Industry,Other,7,7,352.5,352.5
2023,HI,Total Electric Power Industry,Solar Thermal and Photovoltaic,6,6,167.5,167.5
2023,IA,Total Electric Power Industry,All Sources,4,4,435.7,433.3
2023,IA,Total Electric Power Industry,Other,1,1,5.0,5.0
2023,IA,Total Electric Power Industry,Solar Thermal and Photovoltaic,1,1,3.9,3.9
2023,IA,Total Electric Power Industry,Wind,2,2,426.8,424.4
2023,ID,Total Electric Power Industry,All Sources,8,8,172.3,172.3
2023,ID,Total Electric Power Industry,Other,6,6,131.0,131.0
2023,ID,Total Electric Power Industry,Other Biomass,1,1,1.3,1.3
2023,ID,Total Electric Power Industry,Solar Thermal and Photovoltaic,1,1,40.0,40.0
2023,IL,Total Electric Power Industry,All Sources,23,21,"2,860.3","2,684.9"
2023,IL,Total Electric Power Industry,Natural Gas,4,2,"1,680.6","1,528.0"
2023,IL,Total Electric Power Industry,Solar Thermal and Photovoltaic,14,14,334.6,317.8
2023,IL,Total Electric Power Industry,Wind,5,5,845.1,839.1
2023,IN,Total Electric Power Industry,All Sources,10,10,843.3,841.7
2023,IN,Total Electric Power Industry,Solar Thermal and Photovoltaic,9,9,641.7,641.7
2023,IN,Total Electric Power Industry,Wind,1,1,201.6,200.0
2023,KS,Total Electric Power Industry,All Sources,11,9,859.5,819.9
2023,KS,Total Electric Power Industry,Natural Gas,2,1,4.2,4.0
