Year,State,Data Status,RESIDENTIAL Revenue,RESIDENTIAL Sales,RESIDENTIAL Customers,RESIDENTIAL Price,COMMERCIAL Revenue,COMMERCIAL Sales,COMMERCIAL Customers,COMMERCIAL Price,INDUSTRIAL Revenue,INDUSTRIAL Sales,INDUSTRIAL Customers,INDUSTRIAL Price,TRANSPORTATION Revenue,TRANSPORTATION Sales,TRANSPORTATION Customers,TRANSPORTATION Price,OTHER Revenue,OTHER Sales,OTHER Customers,OTHER Price,TOTAL Revenue,TOTAL Sales,TOTAL Customers,TOTAL Price
2009,AK,Final,"362,944","2,117,393","269,746",17.14,"410,853","2,841,337","47,348",14.46,"172,415","1,311,442","1,366",13.15,0,0,0,.,.,.,.,.,"946,211","6,270,171","318,459",15.09
2009,AL,Final,"3,356,043","31,489,412","2,128,008",10.66,"2,203,524","21,918,478","353,884",10.05,"1,755,004","29,436,713","9,251",5.96,0,0,0,.,.,.,.,.,"7,314,568","82,844,601","2,491,143",8.83
2009,AR,Final,"1,552,437","16,985,526","1,315,040",9.14,"867,473","11,476,901","177,635",7.56,"847,426","14,710,292","31,756",5.76,46,384,2,11.98,.,.,.,.,"3,267,388","43,173,104","1,524,432",7.57
2009,AZ,Final,"3,524,074","32,846,844","2,544,382",10.73,"2,747,955","29,385,690","299,528",9.35,"745,377","11,200,396","7,203",6.65,0,0,0,.,.,.,.,.,"7,017,404","73,432,928","2,851,114",9.56
2009,CA,Final,"13,238,602","89,798,787","12,910,854",14.74,"16,074,665","121,105,407","1,801,935",13.27,"4,985,347","47,835,150","76,222",10.42,"70,495","844,331",494,8.35,.,.,.,.,"34,369,105","259,583,674","14,789,505",13.24
2009,CO,Final,"1,740,496","17,412,629","2,111,621",10.00,"1,631,116","20,008,465","349,267",8.15,"867,025","13,571,149","14,917",6.39,"3,553","43,665",1,8.14,.,.,.,.,"4,242,190","51,035,907","2,475,806",8.31
2009,CT,Final,"2,557,386","12,578,225","1,447,249",20.33,"2,236,471","13,257,341","148,174",16.87,"553,294","3,692,021","4,881",14.99,"22,489","188,175",2,11.95,.,.,.,.,"5,369,639","29,715,765","1,600,305",18.07
2009,DC,Final,"260,781","1,899,655","221,794",13.73,"1,192,359","8,992,143","26,307",13.26,"19,609","234,032",1,8.38,"40,490","308,540",1,13.12,.,.,.,.,"1,513,242","11,434,376","248,104",13.23
2009,DE,Final,"610,008","4,334,912","393,836",14.07,"503,525","4,184,936","49,057",12.03,"260,287","2,737,931","1,241",9.51,0,0,0,.,.,.,.,.,"1,373,821","11,257,778","444,133",12.20
2009,FL,Final,"14,302,605","115,473,511","8,493,590",12.39,"9,936,650","92,274,656","1,125,135",10.77,"1,576,698","16,917,941","20,456",9.32,"8,825","84,214",25,10.48,.,.,.,.,"25,824,776","224,750,323","9,639,206",11.49
2009,GA,Final,"5,587,892","55,157,559","4,061,860",10.13,"4,120,177","46,080,388","545,858",8.94,"1,795,619","29,348,147","15,487",6.12,"12,609","179,409",1,7.03,.,.,.,.,"11,516,293","130,765,506","4,623,206",8.81
2009,HI,Final,"739,419","3,055,272","412,843",24.20,"740,615","3,388,012","60,868",21.86,"668,135","3,682,900",689,18.14,0,0,0,.,.,.,.,.,"2,148,168","10,126,185","474,400",21.21
2009,IA,Final,"1,370,572","13,723,412","1,324,180",9.99,"884,247","11,706,306","215,987",7.55,"960,513","18,211,476","6,610",5.27,0,0,0,.,.,.,.,.,"3,215,331","43,641,196","1,546,777",7.37
2009,ID,Final,"667,178","8,553,610","659,775",7.80,"389,481","6,005,434","100,209",6.49,"423,881","8,194,735","26,570",5.17,0,0,0,.,.,.,.,.,"1,480,538","22,753,779","786,554",6.51
2009,IL,Final,"4,996,392","44,324,492","5,074,861",11.27,"4,552,278","50,329,279","575,798",9.04,"2,911,346","41,507,316","5,891",7.01,"44,242","527,380",4,8.39,.,.,.,.,"12,504,256","136,688,466","5,656,555",9.15
2009,IN,Final,"3,093,220","32,548,111","2,733,610",9.50,"1,970,818","23,688,605","341,431",8.32,"2,500,570","43,055,165","18,263",5.81,"1,926","19,934",1,9.66,.,.,.,.,"7,566,531","99,311,815","3,093,305",7.62
2009,KS,Final,"1,253,575","13,149,100","1,209,520",9.53,"1,181,734","15,006,966","218,800",7.87,"615,667","10,087,277","22,871",6.10,0,0,0,.,.,.,.,.,"3,050,977","38,243,342","1,451,190",7.98
2009,KY,Final,"2,223,388","26,560,668","1,924,886",8.37,"1,429,540","18,733,921","294,224",7.63,"2,143,253","43,602,169","7,057",4.92,0,0,0,.,.,.,.,.,"5,796,182","88,896,757","2,226,166",6.52
2009,LA,Final,"2,410,881","29,746,799","1,946,997",8.10,"1,792,928","23,300,522","269,167",7.69,"1,345,644","25,613,203","18,534",5.25,913,"9,060",24,10.08,.,.,.,.,"5,550,366","78,669,583","2,234,722",7.06
2009,MA,Final,"3,286,176","19,474,645","2,661,984",16.87,"2,731,159","17,774,774","375,506",15.37,"2,357,290","16,754,265","16,172",14.07,"22,060","355,508",1,6.21,.,.,.,.,"8,396,685","54,359,200","3,053,663",15.45
2009,MD,Final,"4,037,175","26,944,568","2,188,390",14.98,"3,571,971","29,806,000","242,640",11.98,"526,555","5,285,832","8,774",9.96,"58,020","552,743",5,10.50,.,.,.,.,"8,193,724","62,589,144","2,439,809",13.09
2009,ME,Final,"681,754","4,360,002","696,822",15.64,"513,001","4,071,042","87,922",12.60,"286,111","2,851,925","2,858",10.03,0,0,0,.,.,.,.,.,"1,480,866","11,282,968","787,602",13.12
2009,MI,Final,"3,812,659","32,854,122","4,253,785",11.60,"3,500,740","37,870,361","520,548",9.24,"1,912,765","27,391,102","13,063",6.98,586,"5,428",1,10.80,.,.,.,.,"9,226,748","98,121,014","4,787,397",9.40
2009,MN,Final,"2,212,340","22,033,960","2,290,878",10.04,"1,766,050","22,311,487","273,423",7.92,"1,229,054","19,637,127","9,427",6.26,"1,692","21,890",1,7.73,.,.,.,.,"5,209,137","64,004,464","2,573,729",8.14
2009,MO,Final,"2,924,093","34,220,695","2,687,755",8.54,"2,130,804","30,604,881","368,471",6.96,"815,838","15,050,485","8,982",5.42,"1,238","21,241",1,5.83,.,.,.,.,"5,871,973","79,897,300","3,065,209",7.35
2009,MS,Final,"1,849,917","18,095,192","1,243,261",10.22,"1,236,206","13,013,470","222,859",9.50,"987,999","14,940,492","7,150",6.61,0,0,0,.,.,.,.,.,"4,074,123","46,049,154","1,473,271",8.85
2009,MT,Final,"428,140","4,790,401","466,160",8.94,"398,708","4,790,860","100,498",8.32,"260,505","4,772,512","5,224",5.46,0,0,0,.,.,.,.,.,"1,087,351","14,353,775","571,882",7.58
