Year,State,Data Status,RESIDENTIAL Revenue,RESIDENTIAL Sales,RESIDENTIAL Customers,RESIDENTIAL Price,COMMERCIAL Revenue,COMMERCIAL Sales,COMMERCIAL Customers,COMMERCIAL Price,INDUSTRIAL Revenue,INDUSTRIAL Sales,INDUSTRIAL Customers,INDUSTRIAL Price,TRANSPORTATION Revenue,TRANSPORTATION Sales,TRANSPORTATION Customers,TRANSPORTATION Price,TOTAL Revenue,TOTAL Sales,TOTAL Customers,TOTAL Price
2023,AK,Preliminary,"488,930","2,046,181","297,697",23.89,"535,789","2,574,461","57,401",20.81,"259,182","1,382,997","1,177",18.74,0,0,0,.,"1,283,901","6,003,640","356,275",21.39
2023,AL,Preliminary,"4,653,463","31,921,131","2,367,459",14.58,"2,987,210","22,670,854","382,382",13.18,"2,226,273","31,236,010","7,222",7.13,0,0,0,.,"9,866,945","85,827,996","2,757,062",11.50
2023,AR,Preliminary,"2,279,540","18,633,302","1,464,085",12.23,"1,230,297","11,895,492","207,996",10.34,"1,286,632","18,728,258","36,443",6.87,40,268,2,14.86,"4,796,509","49,257,319","1,708,526",9.74
2023,AZ,Preliminary,"5,440,645","38,832,868","3,037,147",14.01,"3,788,512","32,268,392","341,908",11.74,"1,127,191","14,217,845","7,182",7.93,"1,008","10,066",2,10.01,"10,357,355","85,329,172","3,386,240",12.14
2023,CA,Preliminary,"24,001,352","82,998,278","13,990,704",28.92,"26,904,906","112,522,415","1,762,267",23.91,"7,917,202","41,993,790","148,224",18.85,"94,283","725,432",12,13.00,"58,917,743","238,239,915","15,901,206",24.73
2023,CO,Preliminary,"2,901,364","20,258,516","2,455,898",14.32,"2,399,398","20,564,184","392,462",11.67,"1,322,829","15,450,250","14,864",8.56,"8,894","89,614",1,9.92,"6,632,486","56,362,564","2,863,225",11.77
2023,CT,Preliminary,"3,742,546","12,534,918","1,540,117",29.86,"2,248,580","11,252,244","156,596",19.98,"404,082","2,592,105","3,930",15.59,"34,545","178,899",3,19.31,"6,429,753","26,558,166","1,700,646",24.21
2023,DC,Preliminary,"387,829","2,371,641","313,032",16.35,"1,192,557","7,009,972","27,329",17.01,"19,208","176,566",1,10.88,"29,943","301,384",3,9.94,"1,629,536","9,859,564","340,365",16.53
2023,DE,Preliminary,"775,039","4,922,401","463,172",15.75,"493,464","4,139,121","59,565",11.92,"157,888","1,943,993",821,8.12,0,0,0,.,"1,426,391","11,005,516","523,558",12.96
2023,FL,Preliminary,"20,529,049","134,713,788","10,195,717",15.24,"11,689,585","98,791,982","1,285,147",11.83,"1,636,070","17,163,570","26,383",9.53,"8,051","71,105",2,11.32,"33,862,755","250,740,444","11,507,249",13.51
2023,GA,Preliminary,"8,229,347","59,926,454","4,729,217",13.73,"5,467,282","47,975,866","609,665",11.40,"2,305,309","32,963,653","24,017",6.99,"10,512","144,124",1,7.29,"16,012,450","141,010,096","5,362,899",11.36
